customer_id,hist_avg_balance,hist_std_balance,hist_avg_balance_at_due,income_hist_avg,expenses_hist_avg,installment_amount,on_time_payments_n,payments_observed_n,payment_delay_avg,payment_delay_max,payment_delay_std,failed_attempts_hist_avg,income_type,income_day_std,income_expected_day,due_day,nomina_en_banco_mock,income_last_30d,expenses_last_30d,expenses_last_7d,current_balance,balance_14d_ago,min_balance_30d,avg_balance_30d,failed_payment_attempts_30d,partial_payments_n,last_payment_delay_days,hist_cycles_available,tenure_months,external_debt_ratio_mock,next_due_date,next_expected_income_date,days_to_due,contacts_sent_90d,contacts_answered_90d,opt_out_flag,current_cycle_paid,app_logins_30d,app_logins_hist_avg,push_enabled,activity_events_90d,days_since_last_login,days_since_last_contact,balance_ratio,min_balance_ratio_30d,projected_coverage,balance_vs_historical,recent_balance_drop,income_variation,income_amount_cv,expense_variation_30d,spending_velocity_7d,payment_punctuality,last_payment_delay_deviation,failed_attempts_deviation,income_due_gap,income_due_gap_pos,income_date_unknown,baseline_unreliable,contact_history_insufficient,contact_response_rate,app_engagement_ratio,synthetic_late_payment_next_cycle,credit_product,digital_capability,has_missing_core,full_name_mock,dui_mock,dataset_version,generator_seed,snapshot_date
C00001,341.27865131747535,116.1163983408243,242.36932601510125,656.7357772019122,599.5329764852645,144.5111014002237,3,6,1.6666666666666667,5,2.250925735484551,0.0,INDEPENDENT,9.159488689586581,2.0,10,True,500.9394297506264,715.9775232240099,184.4996979581726,197.1110259985355,1075.5828319035795,110.03413873982365,110.03413873982365,0,2,2,6,38,0.3094918411706422,2026-10-10,2026-09-02,28,3,2,False,False,11,11.30084691196353,True,33,18,50,1.3639853553716694,0.7614234316509978,4.830427897825719,0.5775662357947273,0.8167402638347379,-0.23722835401943776,0.3470168220375917,0.19422542429842046,1.3232778384787336,0.5,0.33333333333333326,0.0,-15.0,0.0,0,0,0,0.6666666666666666,0.973378374708798,1,SALARY_ADVANCE,D1,0,Cliente Demo 00001,DUI-DEMO-00001,synth_v1,42,2026-09-12
C00002,662.3453648680801,290.343670875734,452.2695990698598,1007.6785490306584,578.3342059785876,218.11643737024377,6,6,0.0,0,0.0,0.3333333333333333,SALARIED,1.2226653227681137,10.0,15,True,980.5819273774763,565.7827994032209,154.84837558566988,493.1814099165405,582.4735529193306,290.0383160786336,290.0383160786336,0,0,0,6,19,0.44241156515722635,2026-09-15,2026-09-10,3,1,0,False,True,9,11.18692656939022,True,27,24,80,2.2610923590292513,1.329740754871699,6.756773377846638,0.7445985675687001,0.153298192776757,-0.026890144361262632,0.06445647051899564,-0.021702687556114306,1.1513204789464466,1.0,0.0,-0.3333333333333333,-5.0,0.0,0,0,1,0.0,0.8045105100292594,0,STUDENT_LOAN,D1,0,Cliente Demo 00002,DUI-DEMO-00002,synth_v1,42,2026-09-12
C00003,963.5340069851195,270.39790257723433,771.9298176566152,1119.6926101191686,937.701275760512,415.5227869665689,3,6,2.6666666666666665,12,4.676180777800049,0.16666666666666666,BIWEEKLY,1.8472009422891174,1.0,5,True,725.778648178083,1321.998799393159,320.4266371709264,454.3693898586731,632.2176202985202,297.7185292213235,297.7185292213235,4,2,2,6,100,0.9875660202970056,2026-10-05,2026-09-01,23,3,0,False,False,9,9.950128757968061,True,27,0,6,1.0934885019801084,0.7164914622246134,2.8401523936922035,0.4715654938639755,0.28130856326951276,-0.35180544944309444,0.04653581646024559,0.40982937057536467,1.4693747096776706,0.5,-0.6666666666666665,3.8333333333333335,-15.0,0.0,0,0,0,0.0,0.9045109082425493,0,EXTRA_FINANCING,D1,0,Cliente Demo 00003,DUI-DEMO-00003,synth_v1,42,2026-09-12
C00004,772.8873726199269,383.70938934459826,441.88172083750464,852.7068171635451,520.1126767232516,236.45732587887528,3,6,2.1666666666666665,6,2.7141603981096374,0.16666666666666666,BIWEEKLY,0.3900395226180535,26.0,5,True,923.4775168254839,603.2840305528716,147.68349246104543,429.8237350128982,656.7172204452655,229.37635489410818,229.37635489410818,0,1,3,6,87,0.3657063216605387,2026-10-05,2026-09-26,23,3,2,False,False,11,11.706095686059735,False,33,6,65,1.8177645095803647,0.9700539158241419,5.723236727000827,0.5561272576570704,0.34549647606092865,0.08299534873821153,0.04921934981491892,0.15991026089501542,1.2209643140853403,0.5,0.8333333333333335,-0.16666666666666666,-9.0,0.0,0,0,0,0.6666666666666666,0.9396813672981853,0,STUDENT_LOAN,D1,0,Cliente Demo 00004,DUI-DEMO-00004,synth_v1,42,2026-09-12
C00005,390.35221490812086,191.56320189525923,158.48927669463316,525.9912006583149,336.4891986987054,88.05784911702858,5,6,0.5,3,1.224744871391589,0.16666666666666666,INDEPENDENT,9.204383584665198,2.0,10,True,471.3508199911802,382.97466987084425,100.6513261249384,255.74955005438892,392.8054746896073,149.39687302352618,149.39687302352618,0,0,0,6,25,0.7386761755424993,2026-10-10,2026-09-02,28,3,2,False,False,8,8.14618705792218,False,24,7,14,2.904335645474359,1.696576449703856,8.25707619861638,0.655176377350865,0.34891551535405463,-0.1038807884975043,0.22195142805812165,0.13814847951111267,1.2862246515222249,0.8333333333333334,-0.5,-0.16666666666666666,-15.0,0.0,0,0,0,0.6666666666666666,0.9820545419737184,0,HOME_LOAN,D1,0,Cliente Demo 00005,DUI-DEMO-00005,synth_v1,42,2026-09-12
C00006,518.5003040562872,125.65149227393961,532.6980581925809,703.3482858500283,423.97410944064285,262.5796111290702,4,6,1.8333333333333333,7,2.9944392908634274,0.3333333333333333,SALARIED,1.838058871414072,4.0,15,True,725.8599933958009,476.68926717084656,103.25183307821803,503.4909082335187,1188.8682352480246,333.7979038421619,333.7979038421619,0,0,2,6,1,0.3275009217124897,2026-09-15,2026-09-04,3,5,1,False,True,1,0.1,True,3,18,69,1.9174790687995547,1.2712255243537722,4.681821624852038,0.9710522911841165,0.5764956171711668,0.032006486684710005,0.06301304480793686,0.12433579446573242,1.0471933836292329,0.6666666666666666,0.16666666666666674,-0.3333333333333333,-11.0,0.0,0,0,0,0.2,5.0,1,CREDICHEQUE,D1,0,Cliente Demo 00006,DUI-DEMO-00006,synth_v1,42,2026-09-12
C00007,757.6755095302515,217.92276251454038,867.9001875772274,1032.1741925956585,681.2779594607514,338.9138868267934,3,6,1.1666666666666667,4,1.602081978759722,0.0,BIWEEKLY,1.386854744320068,11.0,30,False,876.4524257113871,851.3843516783732,151.9311444725478,543.7960359847492,875.2322301800098,475.1593019790011,475.1593019790011,0,3,1,6,101,0.3999793492157643,2026-09-28,2026-09-11,16,3,2,False,False,10,6.717992063414171,True,30,4,50,1.6045256837252695,1.4020059975348187,4.190587983849638,0.7177162639477358,0.37868371703712717,-0.15086771981061672,0.05237968265014056,0.24968720895105023,0.9589388767971622,0.5,-0.16666666666666674,0.0,-15.0,0.0,0,0,0,0.6666666666666666,1.488540013981182,0,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,0,Cliente Demo 00007,DUI-DEMO-00007,synth_v1,42,2026-09-12
C00008,385.7244825017426,35.898592432223765,163.5442394039824,693.3808377138724,430.65629188519694,75.08341830102293,5,6,0.5,3,1.224744871391589,0.0,SALARIED,1.735117092109539,13.0,15,True,446.7003644841417,581.6360526984683,132.5910007142416,226.00785300526263,323.03987957110826,141.04818433222962,141.04818433222962,0,1,0,6,59,0.8685575083763608,2026-09-15,2026-09-13,3,3,1,False,False,10,4.94640295038388,True,30,2,64,3.010090085392177,1.8785530483806967,8.959477774338884,0.5859307958349301,0.300371665240442,-0.35576476852613115,0.07779465512932905,0.3505806455360442,1.3238894074331218,0.8333333333333334,-0.5,0.0,-2.0,0.0,0,0,0,0.3333333333333333,2.0216711214811,1,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,0,Cliente Demo 00008,DUI-DEMO-00008,synth_v1,42,2026-09-12
C00009,355.832343176209,139.56380928550877,238.69157199605607,605.9460769561065,424.16153394866257,157.5633858774705,6,6,0.0,0,0.0,0.16666666666666666,UNKNOWN,0.8837229852688844,14.0,30,False,561.5434530832813,374.53717798465493,93.20417254721949,249.89252085049216,656.0788968539132,235.83652078441548,235.83652078441548,0,0,0,6,114,0.3394019558802525,2026-09-28,2026-09-14,16,4,2,False,False,8,7.6285462131860395,True,24,1,31,1.5859809019642521,1.4967723590797564,5.14990185959058,0.7022760174634963,0.6191120884259522,-0.07327817698874486,0.17052159578023285,-0.11699400344495596,0.9448710217120985,1.0,0.0,-0.16666666666666666,-14.0,0.0,0,0,0,0.5,1.0486926049123093,0,PERSONAL_LOAN_ACCOUNT_DEBIT,D1,0,Cliente Demo 00009,DUI-DEMO-00009,synth_v1,42,2026-09-12
C00010,515.1336095740206,94.5065247047845,153.8457455858461,715.3882813299739,394.1635056132053,83.93661583789657,6,6,0.0,0,0.0,0.16666666666666666,SALARIED,1.1237993165788083,3.0,5,True,611.6137972037357,394.91721243684,81.8587321918316,474.21331179932776,633.0872516136861,398.18329419874937,398.18329419874937,0,0,1,6,40,0.11487151450474262,2026-10-05,2026-09-03,23,3,0,False,False,8,4.983458470049454,True,24,28,74,5.649659651696668,4.743856899922495,10.0,0.9205637197531509,0.2509510962500067,-0.14506036349003612,0.07187290944937093,0.0019121679528958956,0.8930115127661972,1.0,1.0,-0.16666666666666666,-15.0,0.0,0,0,0,0.0,1.605310859532579,0,STUDENT_LOAN,D1,0,Cliente Demo 00010,DUI-DEMO-00010,synth_v1,42,2026-09-12
