conversation_id,intervention_id,customer_id,situation_hint,channel,turns_total,barrier_detected,barrier_vs_situation_match,tone_overall,escalation_triggered,alternatives_offered,alternative_accepted,final_outcome,paid_on_time_after
CV-000004,IV-000004,C01194,S1,CALL,4,FORGOT,True,COOPERATIVE,False,ALT-REMINDER-PAYLINK;ALT-GRACE-DAYS;ALT-AUTOSAVE-PCT,ALT-REMINDER-PAYLINK,ACCEPTED,True
CV-000016,IV-000016,C02892,S1,APP_PUSH,3,LIQUIDITY,False,COOPERATIVE,False,ALT-REMINDER-PAYLINK;ALT-AUTOSAVE-PCT,ALT-REMINDER-PAYLINK,ACCEPTED,False
CV-000024,IV-000024,C00102,S1,CALL,2,FORGOT,True,COOPERATIVE,False,ALT-REMINDER-PAYLINK;ALT-AUTOSAVE-PCT,ALT-REMINDER-PAYLINK,ACCEPTED,True
CV-000025,IV-000025,C01233,S0,CALL,6,FORGOT,False,NEUTRAL,False,,,NO_RESPONSE,False
CV-000028,IV-000028,C02403,S1,CALL,2,FORGOT,True,COOPERATIVE,False,ALT-REMINDER-PAYLINK;ALT-AUTOSAVE-PCT,ALT-REMINDER-PAYLINK,ACCEPTED,True
CV-000035,IV-000035,C02392,S1,CALL,5,FORGOT,True,NEUTRAL,False,ALT-REMINDER-PAYLINK;ALT-GRACE-DAYS;ALT-AUTOSAVE-PCT,ALT-REMINDER-PAYLINK,ACCEPTED,True
CV-000037,IV-000037,C02530,S1,CALL,4,FORGOT,True,COOPERATIVE,False,ALT-REMINDER-PAYLINK;ALT-AUTOSAVE-PCT,ALT-REMINDER-PAYLINK,ACCEPTED,True
CV-000043,IV-000043,C02976,S1,CALL,4,FORGOT,True,COOPERATIVE,False,ALT-REMINDER-PAYLINK;ALT-AUTOSAVE-PCT;ALT-CHANNEL-SUPPORT,,REJECTED,False
CV-000046,IV-000046,C01635,S1,CALL,4,REFUSAL,False,NEUTRAL,False,ALT-REMINDER-PAYLINK;ALT-GRACE-DAYS;ALT-AUTOSAVE-PCT,ALT-REMINDER-PAYLINK,ACCEPTED,True
CV-000059,IV-000059,C01599,S3,CALL,4,LIQUIDITY,True,COOPERATIVE,False,ALT-AUTOSAVE-PCT,ALT-AUTOSAVE-PCT,ACCEPTED,True
CV-000073,IV-000073,C02938,S0,CALL,5,OTHER,False,NEUTRAL,False,,,NO_RESPONSE,False
CV-000084,IV-000084,C00118,S1,CALL,6,FORGOT,True,NEUTRAL,False,ALT-REMINDER-PAYLINK;ALT-AUTOSAVE-PCT,ALT-REMINDER-PAYLINK,ACCEPTED,False
CV-000088,IV-000088,C02759,S1,CALL,3,FORGOT,True,COOPERATIVE,False,ALT-REMINDER-PAYLINK;ALT-GRACE-DAYS;ALT-AUTOSAVE-PCT,ALT-REMINDER-PAYLINK,ACCEPTED,True
CV-000090,IV-000090,C01604,S1,CALL,2,REFUSAL,False,COOPERATIVE,False,ALT-REMINDER-PAYLINK;ALT-AUTOSAVE-PCT,ALT-REMINDER-PAYLINK,ACCEPTED,True
CV-000097,IV-000097,C02138,S1,CALL,1,FORGOT,True,HOSTILE,True,ALT-REMINDER-PAYLINK;ALT-GRACE-DAYS;ALT-AUTOSAVE-PCT,,ESCALATED,False
